codigo,denominacion,cuit,cond_fiscal,limite_cta_cte,telefono,email,direccion
C001,Taller Mecánico El Rulo,20-28456789-8,MONOTRIBUTO,500000,0341-155667788,elrulo@gmail.com,"Av. San Martín 2340, Rosario"
C002,Transporte La Veloz SA,30-71233445-9,RESPONSABLE_INSCRIPTO,3000000,0341-4780099,compras@laveloz.com.ar,"Ruta 9 Km 312, Roldán"
C003,Rectificadora San Martín,27-32118844-9,RESPONSABLE_INSCRIPTO,1200000,0341-4551133,rectisanmartin@hotmail.com,"Mendoza 1870, Rosario"
C004,Gomería y Repuestos Norte,23-30999111-7,MONOTRIBUTO,400000,0341-156443322,,"Av. Alberdi 990, Rosario"
C005,García Marcelo,,CONSUMIDOR_FINAL,0,0341-153998877,,
C006,Consumidor Final,,CONSUMIDOR_FINAL,0,,,
C1000,Transporte Ríos SA,33-69010892-0,RESPONSABLE_INSCRIPTO,1000000,0341-4667488,compras@transportero.com.ar,
C1001,Herrera Patricia,,CONSUMIDOR_FINAL,0,0341-4546249,,
C1002,Logística Álvarez SA,33-86041658-7,RESPONSABLE_INSCRIPTO,1500000,0341-4306129,compras@logsticalvar.com.ar,"Mendoza 3063, San Nicolás"
C1003,Lubricentro Oeste,20-42865165-1,MONOTRIBUTO,500000,0341-4462438,lubricentrooes@gmail.com,"Córdoba 2184, San Nicolás"
C1004,Gomería Sosa,23-52074428-2,MONOTRIBUTO,500000,0341-154290235,gomerasosa@gmail.com,"Bv. Oroño 3055, Roldán"
C1005,Taller López Hnos,27-22555787-5,MONOTRIBUTO,400000,0341-4135768,tallerlpezhnos@gmail.com,
C1006,Romero Ricardo,,CONSUMIDOR_FINAL,0,,,
C1007,Transporte Torres SA,33-79613792-9,RESPONSABLE_INSCRIPTO,3000000,0341-4584950,compras@transporteto.com.ar,"Av. San Martín 3091, Cañada de Gómez"
C1008,Correa Fernando,,CONSUMIDOR_FINAL,0,0341-155433809,,
C1009,Taller Mecánico Ortiz,27-47523682-9,MONOTRIBUTO,800000,0341-153127745,tallermecnicoo@gmail.com,"Rioja 1050, Pérez"
C1010,Silva Matías,,CONSUMIDOR_FINAL,0,0341-156727537,,"Av. Francia 3266, Pergamino"
C1011,Agropecuaria Norte SA,30-87937372-3,RESPONSABLE_INSCRIPTO,2000000,0341-4849944,compras@agropecuaria.com.ar,
C1012,Benítez Juan,23-66402402-0,MONOTRIBUTO,400000,0341-154854986,bentezjuan@gmail.com,
C1013,Lubricentro Funes,20-94913083-6,MONOTRIBUTO,200000,,lubricentrofun@gmail.com,"Av. San Martín 4249, San Nicolás"
C1014,Lubricentro Pergamino,23-51418636-7,MONOTRIBUTO,800000,0341-4708093,lubricentroper@gmail.com,"Av. Provincias Unidas 2483, Rosario"
C1015,Luna Fernando,,CONSUMIDOR_FINAL,0,0341-4441712,,"Av. Provincias Unidas 2133, San Nicolás"
C1016,Casa Gómez Automotores SRL,30-20408172-3,RESPONSABLE_INSCRIPTO,1000000,0341-4286373,compras@casagmezauto.com.ar,
C1017,Domínguez María,,CONSUMIDOR_FINAL,0,0341-4369376,,"Córdoba 4219, Casilda"
C1018,Ramírez Mónica,,CONSUMIDOR_FINAL,0,0341-4849192,,"Tucumán 3737, Villa Gobernador Gálvez"
C1019,Molina Rubén,,CONSUMIDOR_FINAL,0,,,
C1020,Taller Acosta Hnos,20-92969901-8,MONOTRIBUTO,400000,0341-4359585,talleracostahn@gmail.com,"San Juan 1854, Roldán"
C1021,Peralta Pablo,,CONSUMIDOR_FINAL,0,0341-4712917,,
C1022,Álvarez María,27-88697522-3,MONOTRIBUTO,300000,0341-155404863,,"San Juan 4106, San Lorenzo"
C1023,Gomería Ponce,23-20352472-2,MONOTRIBUTO,300000,0341-153245938,gomeraponce@gmail.com,
C1024,Casa López Automotores SRL,30-20408510-9,RESPONSABLE_INSCRIPTO,2000000,0341-4388209,compras@casalpezauto.com.ar,"Bv. Oroño 1940, Funes"
C1025,Logística López SA,30-45324981-2,RESPONSABLE_INSCRIPTO,5000000,0341-4000919,compras@logsticalpez.com.ar,"Córdoba 2440, San Nicolás"
C1026,Gomería Núñez,23-66505153-6,MONOTRIBUTO,200000,0341-4821072,gomeranez@gmail.com,"Av. Francia 3546, Cañada de Gómez"
C1027,Casa Núñez Automotores SRL,33-30301736-9,RESPONSABLE_INSCRIPTO,5000000,0341-4058013,,"Ovidio Lagos 722, Cañada de Gómez"
C1028,Ponce Andrés,,CONSUMIDOR_FINAL,0,0341-154747389,,"Av. Pellegrini 3258, Rosario"
C1029,Lubricentro Oeste,20-38088233-8,MONOTRIBUTO,500000,,,
C1030,Transportes del Centro SRL,33-21335257-7,RESPONSABLE_INSCRIPTO,2000000,0341-153770357,compras@transportesd.com.ar,"Av. Pellegrini 2163, Villa Gobernador Gálvez"
C1031,Taller Mecánico Luna,20-99556767-9,MONOTRIBUTO,500000,0341-4851813,tallermecnicol@gmail.com,"Salta 1986, Villa Gobernador Gálvez"
C1032,Giménez Fernando,,CONSUMIDOR_FINAL,0,,,
C1033,Lubricentro del Sur,20-45257441-2,MONOTRIBUTO,300000,0341-154764406,lubricentrodel@gmail.com,"Salta 2897, Funes"
C1034,Agropecuaria Funes SA,30-66306205-7,RESPONSABLE_INSCRIPTO,5000000,0341-4194724,compras@agropecuaria.com.ar,"Av. Francia 4031, San Lorenzo"
C1035,Rodríguez Beatriz,27-35946645-0,MONOTRIBUTO,500000,,,"Mendoza 2870, San Nicolás"
C1036,Castro Diego,,CONSUMIDOR_FINAL,0,0341-4267998,,"Av. Alberdi 3549, Cañada de Gómez"
C1037,Romero Martín,,CONSUMIDOR_FINAL,0,0341-4111393,,"Av. San Martín 632, San Lorenzo"
C1038,Taller Herrera Hnos,23-21182737-8,MONOTRIBUTO,200000,,,"Rioja 4291, Pérez"
C1039,Transporte Sosa SA,30-68354046-9,RESPONSABLE_INSCRIPTO,2000000,0341-4441051,compras@transporteso.com.ar,"Santa Fe 783, Villa Gobernador Gálvez"
C1040,Agropecuaria Funes SA,30-19541999-6,RESPONSABLE_INSCRIPTO,5000000,0341-4112509,compras@agropecuaria.com.ar,"Córdoba 2612, Pergamino"
C1041,Transportes Roldán SRL,33-61182781-9,RESPONSABLE_INSCRIPTO,5000000,0341-156737322,compras@transportesr.com.ar,
C1042,Taller Benítez Hnos,20-93182356-7,MONOTRIBUTO,400000,0341-154165064,tallerbentezhn@gmail.com,
C1043,Logística Sánchez SA,30-89131498-8,RESPONSABLE_INSCRIPTO,5000000,0341-153349360,,"Salta 2947, San Lorenzo"
C1044,Gomería Godoy,23-19848278-1,MONOTRIBUTO,800000,0341-4645979,,
C1045,Taller Godoy Hnos,27-95442429-9,MONOTRIBUTO,800000,0341-154405484,tallergodoyhno@gmail.com,"Tucumán 3107, Villa Gobernador Gálvez"
C1046,Rectificadora Roldán,33-24475984-5,RESPONSABLE_INSCRIPTO,2000000,0341-4052725,,"Ovidio Lagos 1860, Rosario"
C1047,Taller Mecánico Correa,23-56845453-7,MONOTRIBUTO,200000,0341-153180631,tallermecnicoc@gmail.com,"27 de Febrero 2509, Roldán"
C1048,Transportes Cañada de Gómez SRL,33-45312757-0,RESPONSABLE_INSCRIPTO,1500000,0341-155707319,,"27 de Febrero 4404, San Lorenzo"
C1049,Gómez Carla,,CONSUMIDOR_FINAL,0,0341-4532747,,"Córdoba 1415, San Lorenzo"
C1050,Transporte Álvarez SA,33-32847946-5,RESPONSABLE_INSCRIPTO,1000000,0341-4085049,compras@transportelv.com.ar,"Tucumán 1798, Casilda"
C1051,Moreno Facundo,,CONSUMIDOR_FINAL,0,0341-154129176,,
C1052,Agropecuaria Villa Constitución SA,33-56010644-6,RESPONSABLE_INSCRIPTO,1000000,0341-4220616,,"Salta 2081, Funes"
C1053,Distribuidora Sánchez SRL,30-80861912-8,RESPONSABLE_INSCRIPTO,3000000,0341-4255890,compras@distribuidor.com.ar,"Av. Pellegrini 835, San Nicolás"
C1054,Taller Medina Hnos,20-84854307-2,MONOTRIBUTO,200000,0341-4379783,tallermedinahn@gmail.com,
C1055,Gomería Romero,23-24734490-9,MONOTRIBUTO,800000,0341-4663556,gomeraromero@gmail.com,"Mendoza 1206, Roldán"
C1056,López Raúl,,CONSUMIDOR_FINAL,0,0341-155633013,,"San Juan 792, Rosario"
C1057,Agropecuaria Casilda SA,30-21587355-9,RESPONSABLE_INSCRIPTO,2000000,0341-155790655,,"Córdoba 1781, Villa Gobernador Gálvez"
C1058,Transportes Casilda SRL,30-21677614-9,RESPONSABLE_INSCRIPTO,2000000,0341-4747613,compras@transportesc.com.ar,"Tucumán 2147, Casilda"
C1059,Fernández Cecilia,,CONSUMIDOR_FINAL,0,0341-4661308,,"Córdoba 810, Rosario"
C1060,Luna Lucas,,CONSUMIDOR_FINAL,0,0341-4047409,,"Salta 1977, Rosario"
C1061,Casa Ríos Automotores SRL,30-40732114-2,RESPONSABLE_INSCRIPTO,1000000,0341-4258112,compras@casarosautom.com.ar,
C1062,Martínez Cecilia,,CONSUMIDOR_FINAL,0,0341-153426259,,"27 de Febrero 1895, San Nicolás"
C1063,Casa Vega Automotores SRL,33-83247486-5,RESPONSABLE_INSCRIPTO,1500000,0341-155908508,compras@casavegaauto.com.ar,"Av. Francia 1814, Funes"
C1064,Gómez Ricardo,,CONSUMIDOR_FINAL,0,0341-156290964,,"Av. San Martín 4849, Villa Gobernador Gálvez"
C1065,Pérez Néstor,,CONSUMIDOR_FINAL,0,0341-4133929,,
C1066,Casa López Automotores SRL,33-60090503-7,RESPONSABLE_INSCRIPTO,5000000,0341-4089834,,"Av. San Martín 847, San Nicolás"
C1067,Lubricentro San Nicolás,20-78679643-2,MONOTRIBUTO,300000,0341-4074327,lubricentrosan@gmail.com,"Av. San Martín 4251, San Lorenzo"
C1068,Gomería Rodríguez,23-97660479-2,MONOTRIBUTO,400000,0341-4005182,,"Av. San Martín 1468, Roldán"
C1069,Taller Medina Hnos,23-31823505-8,MONOTRIBUTO,300000,0341-4469006,tallermedinahn@gmail.com,"Tucumán 2987, Cañada de Gómez"
C1070,Lubricentro Roldán,27-62677268-9,MONOTRIBUTO,300000,,lubricentrorol@gmail.com,"Santa Fe 2988, Roldán"
C1071,Ruiz Luis,23-70780008-9,MONOTRIBUTO,500000,0341-4419324,,"Av. Pellegrini 399, Pergamino"
C1072,Herrera Carla,27-67112949-6,MONOTRIBUTO,500000,0341-4077783,herreracarla@gmail.com,"Av. Francia 4592, Funes"
C1073,Gomería Moreno,27-94987617-4,MONOTRIBUTO,200000,,gomeramoreno@gmail.com,"Salta 945, San Nicolás"
C1074,Rectificadora Villa Constitución,30-39311426-2,RESPONSABLE_INSCRIPTO,3000000,0341-155982881,compras@rectificador.com.ar,"Av. Alberdi 2043, San Nicolás"
C1075,Transportes Roldán SRL,33-88775314-3,RESPONSABLE_INSCRIPTO,2000000,0341-156651157,compras@transportesr.com.ar,"Mendoza 1854, Funes"
C1076,Gomería Ruiz,20-71068121-0,MONOTRIBUTO,200000,0341-4869903,gomeraruiz@gmail.com,"Ovidio Lagos 268, Funes"
C1077,Gomería Herrera,20-53127183-2,MONOTRIBUTO,500000,0341-4432103,,"Av. Francia 1816, Casilda"
C1078,Romero Susana,,CONSUMIDOR_FINAL,0,0341-156003731,,
C1079,Ruiz Marcelo,23-91319377-6,MONOTRIBUTO,400000,0341-4790494,ruizmarcelo@gmail.com,"Rioja 2584, Villa Gobernador Gálvez"
